Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,南京市,江苏艾佳家居用品有限公司,电子商务,IT技术
江苏,南京市,南京市魔格信息科技有限公司,移动互联网,IT技术
江苏,南京市,南京城格投资管理有限公司,电子商务,IT技术
江苏,南京市,北京柯莱特科技有限公司,企业服务 · 金融,"IT技术,金融财经"
江苏,南京市,南京君子游信息技术有限公司,电子商务 · 旅游,"IT技术,生活服务"
江苏,南京市,江苏钱旺智能系统有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京源美金属制品有限公司,O2O · 生活服务,"IT技术,生活服务"
江苏,南京市,深圳雁联计算系统有限公司,金融 · 信息安全,"IT技术,金融财经"
江苏,南京市,南京红方网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,南京市,南京网感至察信息科技有限公司,数据服务,IT技术
江苏,南京市,南京根号三网络科技有限公司,移动互联网 · 社交网络,IT技术
江苏,南京市,南京新视云网络科技有限公司,移动互联网,IT技术
江苏,南京市,联迪恒星（南京）信息系统有限公司——我家菜单工作室,移动互联网 · O2O,IT技术
江苏,南京市,南京魔苹网络科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
江苏,南京市,珠海世纪鼎利科技股份有限公司,信息安全 · 数据服务,IT技术
江苏,南京市,江苏笛卡尔投资管理有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京永弘兆赢信息科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
江苏,南京市,江苏米果教育科技有限公司,O2O · 教育,"IT技术,生活服务"
江苏,南京市,上海蓝高网络科技有限公司,社交网络 · 广告营销,"IT技术,金融财经"
江苏,南京市,北京爱唯光石信息技术有限公司,企业服务 · 旅游,"IT技术,生活服务"
江苏,南京市,深圳市彩讯科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
江苏,南京市,中城银信控股集团有限公司,金融,金融财经
江苏,南京市,南京明仕达企业管理咨询公司,电子商务 · 招聘,"IT技术,生活服务"
江苏,南京市,武汉佰钧成技术有限责任公司深圳分公司,移动互联网,IT技术
江苏,南京市,江苏亿科达科技发展有限公司,数据服务 · 其他,IT技术
江苏,南京市,南京远古软件有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,广东酷配电子商务有限公司,电子商务,IT技术
江苏,南京市,江苏多语信息技术有限公司,企业服务,IT技术
江苏,南京市,南京康瑞思信息技术有限公司,企业服务 · 数据服务,IT技术
江苏,南京市,成都四方伟业软件股份有限公司,移动互联网,IT技术
江苏,南京市,北京正义创新科技有限公司,移动互联网,IT技术
江苏,南京市,江苏猫不醉电子商务有限公司,电子商务 · O2O,IT技术
江苏,南京市,上海玖道信息科技股份有限公司,移动互联网 · O2O,IT技术
江苏,南京市,江苏宝贝金融信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,南京市,深圳市雁联计算系统有限公司,金融,金融财经
江苏,南京市,南京易言信息技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,南京市,诚迈科技（南京）股份有限公司,移动互联网,IT技术
江苏,南京市,南京统银信息技术有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,苏州行方网络科技有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,南京企联宝信息科技有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,南京奥尼克斯数字科技有限公司,游戏 · 文化娱乐,"IT技术,生活服务"
江苏,南京市,孩子王儿童用品（中国）有限公司,生活服务,生活服务
江苏,南京市,武汉佰钧成技术有限责任公司,企业服务 · 金融,"IT技术,金融财经"
江苏,南京市,南京希拓科技有限公司,信息安全,IT技术
江苏,南京市,广州天维信息技术有限公司,金融 · 数据服务,"IT技术,金融财经"
江苏,南京市,深圳市臻络科技有限公司,医疗健康,生活服务
江苏,南京市,南京集美易宝网络科技有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,上海翼拍网络科技有限公司南京分公司,移动互联网 · 社交网络,IT技术
江苏,南京市,江苏乐博国际投资发展有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京世途猫信息技术有限公司,企业服务 · 移动互联网,IT技术
江苏,南京市,南京中兴软创科技股份有限公司,移动互联网,IT技术
江苏,南京市,随身云（北京）信息技术有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,江苏东大集成电路系统工程技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江苏,南京市,南京秀我信息科技有限公司,移动互联网,IT技术
江苏,南京市,南京颂拓网络科技有限公司,移动互联网,IT技术
江苏,南京市,南京阿甘云网络科技有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,上海民航华东凯亚系统集成有限公司,移动互联网,IT技术
江苏,南京市,南京宏创职业培训学校,移动互联网 · 教育,"IT技术,生活服务"
江苏,南京市,上海博辕信息技术服务有限公司,硬件 · 数据服务,"IT技术,电子制造"
江苏,南京市,南京西祠信息技术股份有限公司,社交网络 · O2O,IT技术
江苏,南京市,江苏信德义信息科技有限公司,生活服务,生活服务
