Provience,City,CompanyShortName,IndustryField,Upper class of industry
四川,攀枝花市,上海速连信息科技有限公司,生活服务 · 数据服务,"IT技术,生活服务"
四川,攀枝花市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,攀枝花市,西安文思海辉技术有限公司,移动互联网 · 电子商务,IT技术
