Provience,City,CompanyShortName,IndustryField,Upper class of industry
四川,成都市,成都快乐家网络技术有限公司,移动互联网 · O2O,IT技术
四川,成都市,成都索贝数码科技股份有限公司 总部,移动互联网,IT技术
四川,成都市,成都市誉坤宇科技有限公司,移动互联网,IT技术
四川,成都市,成都索贝数码科技股份有限公司,教育 · 文化娱乐,生活服务
四川,成都市,成都奇新科技有限公司,移动互联网,IT技术
四川,成都市,四川马丁洛克网络科技有限公司,电子商务 · 社交网络,IT技术
四川,成都市,四川无声信息技术有限公司,信息安全,IT技术
四川,成都市,重庆新诺迪餐饮管理有限责任公司,生活服务,生活服务
四川,成都市,深圳云筑科技有限公司,移动互联网 · 数据服务,IT技术
四川,成都市,四川大五科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,广州酷旅旅行社有限公司,电子商务 · 生活服务,"IT技术,生活服务"
四川,成都市,微格（北京）信息咨询有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
四川,成都市,深圳市优学天下教育发展股份有限公司,移动互联网,IT技术
四川,成都市,深圳市易思博软件技术有限公司,移动互联网 · 金融,"IT技术,金融财经"
四川,成都市,深圳天源迪科信息技术股份有限公司(成都研发中心),移动互联网 · 数据服务,IT技术
四川,成都市,上海塔普仪器制造有限公司,移动互联网 · 其他,IT技术
四川,成都市,imo易睦网络科技有限公司,移动互联网,IT技术
四川,成都市,成都伟品资产管理有限公司,金融,金融财经
四川,成都市,四川超综网络科技有限公司,电子商务,IT技术
四川,成都市,成都网阔信息技术股份有限公司,移动互联网 · 企业服务,IT技术
四川,成都市,成都康赛信息技术有限公司,教育 · 数据服务,"IT技术,生活服务"
四川,成都市,成都逸创信息技术有限公司,移动互联网 · 企业服务,IT技术
四川,成都市,成都恒图科技有限责任公司,移动互联网,IT技术
四川,成都市,成都金翼致远科技有限公司,移动互联网,IT技术
四川,成都市,北京塞瑞斯科技有限公司,移动互联网 · O2O,IT技术
四川,成都市,北京中瑞特通讯设备有限公司,硬件 · 其他,电子制造
四川,成都市,成都一仓科技有限公司,移动互联网,IT技术
四川,成都市,成都中科创达软件有限公司,企业服务,IT技术
四川,成都市,泰立嘉（成都）科技有限公司,移动互联网 · 其他,IT技术
四川,成都市,成都市百泽精诚科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
四川,成都市,四川云使绿能科技有限责任公司,电子商务 · 硬件,"IT技术,电子制造"
四川,成都市,成都路行通信息技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
四川,成都市,成都亚丁互动科技有限公司,游戏,IT技术
四川,成都市,四川文轩在线电子商务有限公司,电子商务,IT技术
四川,成都市,成都灵悦互动科技有限公司,移动互联网,IT技术
四川,成都市,能力天空科技（北京）有限公司,教育,生活服务
四川,成都市,成都依能科技有限公司,教育,生活服务
四川,成都市,四川省向日葵网络科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
四川,成都市,金数据,企业服务,IT技术
四川,成都市,成都来者教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
四川,成都市,成都博纳斯科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
四川,成都市,蓝色风暴科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
四川,成都市,成都不凡布道信息技术有限公司,移动互联网 · 教育,"IT技术,生活服务"
四川,成都市,成都心悦互动科技有限公司,移动互联网,IT技术
四川,成都市,成都初唐网络科技有限公司,移动互联网,IT技术
四川,成都市,上海行邑信息科技有限公司,移动互联网 · 数据服务,IT技术
四川,成都市,海南天涯社区网络科技股份有限公司,移动互联网 · 社交网络,IT技术
四川,成都市,四川苍狼白鹿科技有限公司,移动互联网,IT技术
四川,成都市,产品100,企业服务 · 教育,"IT技术,生活服务"
四川,成都市,四川金投金融电子服务股份有限公司,O2O · 金融,"IT技术,金融财经"
四川,成都市,万象映画,移动互联网 · 社交网络,IT技术
四川,成都市,成都乐动信息技术有限公司,移动互联网,IT技术
四川,成都市,成都动力无限科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都尼毕鲁科技股份有限公司,移动互联网 · 游戏,IT技术
四川,成都市,深圳市置辰海信科技有限公司,移动互联网,IT技术
四川,成都市,深圳市人人优泊智能科技有限公司,移动互联网,IT技术
四川,成都市,成都卓拙科技有限公司,移动互联网,IT技术
四川,成都市,珠海德百祺科技有限公司成都办事处,移动互联网,IT技术
四川,成都市,成都恒高科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
四川,成都市,上海喔噻互联网科技有限公司,移动互联网,IT技术
四川,成都市,唯为,电子商务 · O2O,IT技术
四川,成都市,北京启明星辰信息安全技术有限公司,信息安全,IT技术
四川,成都市,成都维立方科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都诚邦软件有限公司,医疗健康,生活服务
四川,成都市,北京易观网络信息咨询有限公司,移动互联网 · 数据服务,IT技术
四川,成都市,成都一二一军创文化传播有限公司,移动互联网 · 社交网络,IT技术
四川,成都市,四川哇沃网络科技有限责任公司,电子商务 · O2O,IT技术
四川,成都市,成都游加佳科技有限公司,游戏 · 硬件,"IT技术,电子制造"
四川,成都市,新蛋科技（成都）有限公司,电子商务,IT技术
四川,成都市,搜狐媒体,移动互联网 · 广告营销,"IT技术,金融财经"
四川,成都市,四川星密码电子商务股份有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,北京微智全景信息技术有限公司,移动互联网  · O2O,IT技术
四川,成都市,四川艾普视达数码科技有限公司,信息安全 · 数据服务,IT技术
四川,成都市,深圳三代人科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
四川,成都市,京东金融,金融,金融财经
四川,成都市,四川八面城科技有限责任公司,生活服务 · 其他,生活服务
四川,成都市,成都小多科技有限公司,企业服务 · 数据服务,IT技术
四川,成都市,成都睿明医疗信息技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
四川,成都市,美好学院,企业服务 · 教育,"IT技术,生活服务"
四川,成都市,四川摩奇信息技术有限公司,游戏,IT技术
四川,成都市,成都英博格科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
四川,成都市,深圳市彩讯科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
四川,成都市,上海帝联信息科技股份有限公司,移动互联网,IT技术
四川,成都市,成都令鹿科技有限公司,移动互联网 · O2O,IT技术
四川,成都市,东莞巨擎信息技术有限公司,电子商务 · 生活服务,"IT技术,生活服务"
四川,成都市,成都趣乐多科技有限公司,游戏,IT技术
四川,成都市,成都维特比科技有限公司,移动互联网 · 社交网络,IT技术
四川,成都市,四川白易居房地产经纪有限公司,移动互联网 · O2O,IT技术
四川,成都市,南京帆软软件有限公司,数据服务,IT技术
四川,成都市,成都珍宝化妆品有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,上海优刻得信息技术有限公司,数据服务,IT技术
四川,成都市,滴滴打车（小桔科技）,移动互联网 · 电子商务,IT技术
四川,成都市,深圳市一码证科技有限公司,移动互联网 · 数据服务,IT技术
四川,成都市,成都乐美饰家信息技术有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,明博教育科技股份有限公司,移动互联网 · 教育,"IT技术,生活服务"
四川,成都市,四川有界科技有限公司,移动互联网 · 企业服务,IT技术
四川,成都市,中商惠民（北京）电子商务有限公司,电子商务,IT技术
四川,成都市,成都云辉智造科技有限公司,电子商务 · 企业服务,IT技术
四川,成都市,北京国软易点软件技术有限公司,移动互联网 · 企业服务,IT技术
四川,成都市,合肥飞友网络科技有限公司,移动互联网,IT技术
四川,成都市,恒生电子股份有限公司,移动互联网 · 金融,"IT技术,金融财经"
四川,成都市,成都邑动科技有限公司,移动互联网,IT技术
四川,成都市,成都西辰软件有限公司,移动互联网 · 分类信息,IT技术
四川,成都市,成都小猪在线网络科技有限公司,移动互联网 · O2O,IT技术
四川,成都市,上海大大文化传播有限公司成都分公司,移动互联网,IT技术
四川,成都市,客如云科技（北京）股份有限公司,移动互联网 · O2O,IT技术
四川,成都市,北京宇信易诚信息技术有限公司,金融 · 其他,金融财经
四川,成都市,成都清数科技有限公司,移动互联网 · 数据服务,IT技术
四川,成都市,四川优会网络科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
四川,成都市,成都知数科技有限公司,数据服务 · 移动互联网,IT技术
四川,成都市,成都知数科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都智菲科技有限公司,移动互联网 · 企业服务,IT技术
四川,成都市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
四川,成都市,时代乐创信息技术（北京）有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
四川,成都市,四川飞创网络科技有限公司成都分公司,移动互联网 · 企业服务,IT技术
四川,成都市,成都博恩电科信息科技有限公司,移动互联网,IT技术
四川,成都市,活跃网络（成都）有限公司,移动互联网,IT技术
四川,成都市,成都网立方互动科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都智艺创想科技有限公司,移动互联网 · 企业服务,IT技术
四川,成都市,成都蓝蜂客科技有限公司,O2O,IT技术
四川,成都市,成都金沙云雅电子商务有限公司,电子商务 · O2O,IT技术
四川,成都市,成都建国汽车贸易有限公司,其他,其他
四川,成都市,成都胖豆科技有限公司,移动互联网 · 数据服务,IT技术
四川,成都市,成都优珂珂电子商务有限公司,电子商务 · 移动互联网,IT技术
四川,成都市,成都卓普达科技有限公司,移动互联网 · 其他,IT技术
四川,成都市,新电信息科技（成都）有限公司,企业服务,IT技术
四川,成都市,成都侠客岛企业联合办公室管理有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,营养屋（成都）生物医药有限公司,医疗健康,生活服务
四川,成都市,成都美祈网络技术有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都余香信息科技有限公司,移动互联网,IT技术
四川,成都市,成都云数海量信息科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都快乐家网络技术有限公司,电子商务,IT技术
四川,成都市,成都景触科技有限公司,移动互联网,IT技术
四川,成都市,成都万橙教育咨询有限公司,教育,生活服务
四川,成都市,成都宜泊信息科技有限公司,O2O · 生活服务,"IT技术,生活服务"
四川,成都市,成都万旗科技有限公司,移动互联网 · 企业服务,IT技术
四川,成都市,北京致远协创软件有限公司,移动互联网 · 社交网络,IT技术
四川,成都市,上海迈外迪网络科技有限公司,移动互联网 · O2O,IT技术
四川,成都市,四川复强实业有限公司,移动互联网,IT技术
四川,成都市,北京金和网络股份有限公司,移动互联网 · 数据服务,IT技术
四川,成都市,成都摩宝网络科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都天象互动科技有限公司,移动互联网 · 游戏,IT技术
四川,成都市,成都市知用科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
四川,成都市,成都雨神网络科技有限责任公司,游戏,IT技术
四川,成都市,成都易叁科技有限公司,移动互联网,IT技术
四川,成都市,四川金明科技,移动互联网 · 企业服务,IT技术
四川,成都市,成都尚古美德科技有限公司,医疗健康,生活服务
四川,成都市,每日经济新闻报社有限公司,移动互联网 · 其他,IT技术
四川,成都市,成都诺艾斯科技有限公司,移动互联网 · O2O,IT技术
四川,成都市,成都理想境界科技有限公司,移动互联网,IT技术
四川,成都市,成都睿峰科技有限公司,移动互联网,IT技术
四川,成都市,北京世联互动网络有限公司成都分公司,移动互联网 · 社交网络,IT技术
四川,成都市,成都信领科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都都在哪网讯科技有限公司,旅游 · 移动互联网,"IT技术,生活服务"
四川,成都市,成都奥唯科技有限公司,电子商务 · 企业服务,IT技术
四川,成都市,成都乐乐云科技有限责任公司,移动互联网 · 医疗健康,"IT技术,生活服务"
四川,成都市,成都创行信息科技有限公司,社交网络 · 数据服务,IT技术
四川,成都市,成都有车生活网络科技有限公司,移动互联网,IT技术
四川,成都市,TCL通讯科技（成都）有限公司,移动互联网 · 硬件,"IT技术,电子制造"
四川,成都市,成都驿休商贸有限公司,移动互联网 · O2O,IT技术
四川,成都市,成都掌沃无限科技有限公司,游戏,IT技术
四川,成都市,成都平凡谷科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都微群网络科技有限公司,移动互联网 · 游戏,IT技术
四川,成都市,四川长虹点点帮科技有限公司,O2O,IT技术
四川,成都市,大众点评网酒店旅游部,移动互联网 · 生活服务,"IT技术,生活服务"
四川,成都市,零点空间科技(北京)有限公司,移动互联网 · O2O,IT技术
四川,成都市,成都博视美达文化传播有限公司,电子商务 · 生活服务,"IT技术,生活服务"
四川,成都市,成都金慧融智数据服务有限公司,移动互联网 · 数据服务,IT技术
四川,成都市,成都开启云科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
四川,成都市,成都布林顿网络科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
四川,成都市,成都宏星信息科技有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都核桃网络有限公司,社交网络 · O2O,IT技术
四川,成都市,四川启程科技发展有限公司,移动互联网 · 社交网络,IT技术
四川,成都市,深圳市赢时胜信息技术股份有限公司,金融,金融财经
四川,成都市,成都金夫人婚纱摄影有限公司,O2O · 文化娱乐,"IT技术,生活服务"
四川,成都市,成都圣仁康网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
