Provience,City,CompanyShortName,IndustryField,Upper class of industry
安徽,黄山市,广州酷旅旅行社有限公司,电子商务 · 生活服务,"IT技术,生活服务"
安徽,黄山市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
